trial_id,observed_rate,n,y,prior_mean,abs_error,coverage_95,interval_lower,interval_upper,interval_width,log_pred_score,ess,method
derman_dakrd,0.6190476190476191,42,26,0.5,0.11904761904761907,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-3.7612001156935655,2.000000000000001,Uniform
derman_dakrd,0.6190476190476191,42,26,0.4386021505376344,0.18044546850998466,0,0.42853039875626564,0.44869891181588173,0.02016851305961609,-4.817084610074744,9300.00000000017,Pooled
derman_dakrd,0.6190476190476191,42,26,0.48365665050241635,0.13539096854520272,1,0.0626244954764843,0.8752740062773228,0.8126495108008385,-3.1287887421757867,4.172925067902011,EqualWeight
derman_dakrd,0.6190476190476191,42,26,0.4710534384393522,0.14799418060826686,1,0.10449111834168434,0.8826234601438046,0.7781323418021202,-3.394001490533144,5.575200141025606,rMAP
determination_vrd,0.3977591036414565,357,142,0.5,0.1022408963585435,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-5.8805329864007945,2.000000000000001,Uniform
determination_vrd,0.3977591036414565,357,142,0.4410684474123539,0.0433093437708974,0,0.4308152161538601,0.4513465277850628,0.020531311631202698,-4.480571485350083,8985.000000001754,Pooled
determination_vrd,0.3977591036414565,357,142,0.4887122969469422,0.09095319330548568,1,0.0626244954764843,0.8752748109400272,0.8126503154635429,-5.91923877794787,4.144002256245937,EqualWeight
determination_vrd,0.3977591036414565,357,142,0.4755802598330737,0.07782115619161722,1,0.10407740995287895,0.8844853155314922,0.7804079055786133,-5.250225367644977,5.468734827544635,rMAP
determination_vrd_asct,0.5452054794520548,365,199,0.5,0.045205479452054775,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-5.902633333401582,2.000000000000001,Uniform
determination_vrd_asct,0.5452054794520548,365,199,0.4351119527681854,0.1100935266838694,0,0.4248707927763462,0.4453804977238178,0.02050970494747162,-11.742524539091391,8977.000000003804,Pooled
determination_vrd_asct,0.5452054794520548,365,199,0.4852773202245054,0.05992815922754935,1,0.0626244954764843,0.8752748109400272,0.8126503154635429,-5.371759176610373,4.1312113847353835,EqualWeight
